"station_name","species_id","individual_userstr","latitude","longitude","lat_lon_datum","active"
"Breslin to Stadium",101,"bur oak-CC7326*01",42.727623,-84.48761,"WGS84",1
"South Neighborhood",101,"bur oak-CC8292*01",42.722156,-84.48696,"WGS84",1
"Benefactors Plaza",101,"bur oak-CC8345*01",42.732552,-84.478439,"WGS84",1
"Beaumont Tower",102,"northern red oak-20080059*14",42.731781,-84.480029,"WGS84",1
"Beaumont Tower",102,"northern red oak-20080059*15",42.731663,-84.480083,"WGS84",1
"Jenison Field House",102,"northern red oak-20090327*02",42.730125,-84.491577,"WGS84",1
"Beaumont Tower",102,"northern red oak-20090665*02",42.731336,-84.480437,"WGS84",1
"Shaw Hall",102,"northern red oak-89P063*01",42.726979,-84.477566,"WGS84",0
"Shaw Hall",102,"northern red oak-89P063*02",42.726714,-84.47718,"WGS84",1
"Shaw Hall",102,"northern red oak-89P063*03",42.726586,-84.477201,"WGS84",0
"Shaw Hall",102,"northern red oak-89P063*08",42.726508,-84.477099,"WGS84",0
"International Center",102,"northern red oak-91P205*01",42.726389,-84.481944,"WGS84",1
"Plant Sciences",102,"northern red oak-94N379*07",42.723114,-84.478571,"WGS84",1
"Plant Sciences",102,"northern red oak-94N379*17",42.723113,-84.478786,"WGS84",1
"Beaumont Tower",102,"northern red oak-98P021*03",42.732398,-84.481998,"WGS84",1
"Beaumont Tower",102,"northern red oak-CC0286*01",42.732631,-84.482046,"WGS84",1
"Beaumont Tower",102,"northern red oak-CC0288*01",42.732767,-84.482016,"WGS84",1
"Plant Sciences",102,"northern red oak-CC2536*01",42.722789,-84.478272,"WGS84",1
"Hannah Administration Building",102,"northern red oak-CC4374*01",42.729722,-84.48,"WGS84",1
"Breslin to Stadium",102,"northern red oak-CC4944*01",42.726667,-84.483889,"WGS84",1
"Breslin to Stadium",102,"northern red oak-CC7306*01",42.726627,-84.487687,"WGS84",1
"Plant Sciences",102,"northern red oak-NN0748*01",42.722743,-84.478233,"WGS84",1
"Plant Sciences",102,"northern red oak-NN0749*01",42.722736,-84.478292,"WGS84",1
"International Center",1048,"American elm-CC1747*01",42.728579,-84.482308,"WGS84",0
"Grand River Ave",1048,"American elm-CC4653*01",42.734116,-84.482168,"WGS84",1
"Grand River Ave",1048,"American elm-CC4656*01",42.734234,-84.482287,"WGS84",1
"Grand River Ave",1048,"American elm-CC4662*01",42.734183,-84.481884,"WGS84",1
"Dairy Store",1048,"American elm-CC5425*06",42.725034,-84.478974,"WGS84",1
"Dairy Store",1048,"American elm-CC5425*07",42.725065,-84.479164,"WGS84",1
"Dairy Store",1048,"American elm-CC5425*16",42.725136,-84.481837,"WGS84",1
"South Neighborhood",1048,"American elm-CC5459*02",42.725572,-84.482849,"WGS84",0
"South Neighborhood",1048,"American elm-CC5459*03",42.725625,-84.483122,"WGS84",1
"NE Dorms",1048,"American elm-CC6248*01",42.730753,-84.472248,"WGS84",0
"NE Dorms",1048,"American elm-CC6249*01",42.730689,-84.472158,"WGS84",1
"NE Dorms",1048,"American elm-CC6270*01",42.732343,-84.47501,"WGS84",1
"NE Dorms",1048,"American elm-CC6283*01",42.73108,-84.472633,"WGS84",1
"NE Dorms",1048,"American elm-CC6397*02",42.731266,-84.474325,"WGS84",1
"NE Dorms",1048,"American elm-CC6405*01",42.730849,-84.472632,"WGS84",1
"Kresge Arts Center and Giltner Hall",1048,"American elm-CC6416*01",42.73157,-84.475548,"WGS84",1
"Kresge Arts Center and Giltner Hall",1048,"American elm-CC6546*02",42.729193,-84.476621,"WGS84",1
"International Center",1048,"American elm-CC6859*01",42.725995,-84.481883,"WGS84",1
"South Neighborhood",1048,"American elm-CC6943*01",42.725734,-84.482471,"WGS84",1
