accession,scientific_name,common_name,latitude,longitude
20070191*03,Ostrya virginiana,American hop hornbeam,42.725083,-84.475376
20070191*04,Ostrya virginiana,American hop hornbeam,42.725082,-84.475348
20090257*01,Ostrya virginiana,American hop hornbeam,42.724489,-84.482025
20090257*02,Ostrya virginiana,American hop hornbeam,42.724514,-84.482045
20090257*03,Ostrya virginiana,American hop hornbeam,42.7245753,-84.4820865
20090257*04,Ostrya virginiana,American hop hornbeam,42.724486,-84.4820707
20090257*06,Ostrya virginiana,American hop hornbeam,42.724851,-84.482053
20090257*07,Ostrya virginiana,American hop hornbeam,42.724325,-84.482036
20090303*01,Ostrya virginiana,American hop hornbeam,42.729661,-84.492472
20090303*02,Ostrya virginiana,American hop hornbeam,42.729703,-84.492374
20090303*03,Ostrya virginiana,American hop hornbeam,42.729692,-84.492988
20090303*04,Ostrya virginiana,American hop hornbeam,42.729687,-84.493043
20090303*05,Ostrya virginiana,American hop hornbeam,42.731015,-84.491674
20110263*01,Ostrya virginiana,American hop hornbeam,42.731097,-84.4917
CC1320*01,Ostrya virginiana,American hop hornbeam,42.733019,-84.476893
CC1648*01,Ostrya virginiana,American hop hornbeam,42.727536,-84.47868
CC9198*01,Ostrya virginiana,American hop hornbeam,42.727354,-84.477243
CC9244*01,Ostrya virginiana,American hop hornbeam,42.727774,-84.4794
98P136*01,Pinus strobus,Eastern white pine,42.724971,-84.466252
CC4611*01,Pinus strobus,Eastern white pine,42.732402,-84.477524
CC4635*01,Pinus strobus,Eastern white pine,42.732405,-84.476832
CC4636*01,Pinus strobus,Eastern white pine,42.732405,-84.476832
CC4636*02,Pinus strobus,Eastern white pine,42.732362,-84.476873
CC4636*03,Pinus strobus,Eastern white pine,42.732416,-84.476891
CC4639*01,Pinus strobus,Eastern white pine,42.732455,-84.477049
CC4639*02,Pinus strobus,Eastern white pine,42.732435,-84.477128
CC4676*01,Pinus strobus,Eastern white pine,42.734218,-84.481215
CC4676*02,Pinus strobus,Eastern white pine,42.734265,-84.481353
CC4676*03,Pinus strobus,Eastern white pine,42.734225,-84.481497
CC4676*04,Pinus strobus,Eastern white pine,42.734258,-84.481426
CC5067*01,Pinus strobus,Eastern white pine,42.724558,-84.466433
CC5067*02,Pinus strobus,Eastern white pine,42.724549,-84.466279
CC6484*01,Pinus strobus,Eastern white pine,42.72891,-84.474665
CC6484*02,Pinus strobus,Eastern white pine,42.728889,-84.474614
CC0016*01,Platanus occidentalis,Sycamore,42.732758,-84.485897
CC0370*01,Platanus occidentalis,Sycamore,42.731405,-84.481278
CC0402*01,Platanus occidentalis,Sycamore,42.731754,-84.482236
CC0597*01,Platanus occidentalis,Sycamore,42.731398,-84.485331
CC1210*01,Platanus occidentalis,Sycamore,42.733611,-84.481389
CC1666*01,Platanus occidentalis,Sycamore,42.727153,-84.480073
CC2662*01,Platanus occidentalis,Sycamore,42.723468,-84.470485
CC2662*02,Platanus occidentalis,Sycamore,42.7235,-84.47039
CC4349*02,Platanus occidentalis,Sycamore,42.728464,-84.48037
CC4672*01,Platanus occidentalis,Sycamore,42.733889,-84.481111
CC4983*01,Platanus occidentalis,Sycamore,42.729167,-84.488333
CC4983*02,Platanus occidentalis,Sycamore,42.7294144,-84.4881432
CC4983*03,Platanus occidentalis,Sycamore,42.729579,-84.4881405
CC5484*01,Platanus occidentalis,Sycamore,42.726163,-84.476669
CC5484*02,Platanus occidentalis,Sycamore,42.726269,-84.476868
CC5484*03,Platanus occidentalis,Sycamore,42.726281,-84.477203
CC5484*04,Platanus occidentalis,Sycamore,42.72626,-84.477469
CC5484*05,Platanus occidentalis,Sycamore,42.726338,-84.477656
CC5971*01,Platanus occidentalis,Sycamore,42.727146,-84.480292
CC6500*01,Platanus occidentalis,Sycamore,42.727784,-84.478341
CC6645*01,Platanus occidentalis,Sycamore,42.727222,-84.474167
CC6694*01,Platanus occidentalis,Sycamore,42.726542,-84.477733
CC6694*02,Platanus occidentalis,Sycamore,42.726715,-84.477724
CC6694*03,Platanus occidentalis,Sycamore,42.726959,-84.477445
CC9222*01,Platanus occidentalis,Sycamore,42.728231,-84.479709
20050360*10,Quercus alba,White oak,42.731941,-84.48298
CC0234*01,Quercus alba,White oak,42.732236,-84.482707
CC0239*01,Quercus alba,White oak,42.731866,-84.48304
CC0253*01,Quercus alba,White oak,42.732285,-84.482305
CC0314*01,Quercus alba,White oak,42.732294,-84.481589
CC0320*01,Quercus alba,White oak,42.732415,-84.480762
CC0383*01,Quercus alba,White oak,42.731964,-84.481308
CC1059*01,Quercus alba,White oak,42.730166,-84.480856
CC4326*01,Quercus alba,White oak,42.730388,-84.480695
CC4600*01,Quercus alba,White oak,42.732367,-84.479931
CC4955*01,Quercus alba,White oak,42.726929,-84.482615
CC4955*02,Quercus alba,White oak,42.726803,-84.482576
CC4955*03,Quercus alba,White oak,42.726712,-84.4825588
CC6390*01,Quercus alba,White oak,42.731793,-84.47462
CC6631*01,Quercus alba,White oak,42.727408,-84.474069
CC6651*01,Quercus alba,White oak,42.727213,-84.477294
20030465*01,Quercus macrocarpa,Bur oak,42.729284,-84.487905
20030465*06,Quercus macrocarpa,Bur oak,42.732909,-84.480184
20050012*02,Quercus macrocarpa,Bur oak,42.720076,-84.488872
20050339*04,Quercus macrocarpa,Bur oak,42.729168,-84.488
20070507*05,Quercus macrocarpa,Bur oak,42.733971,-84.48657
20090214*02,Quercus macrocarpa,Bur oak,42.723243,-84.484926
CC2043*01,Quercus macrocarpa,Bur oak,42.7313,-84.486944
CC4912*01,Quercus macrocarpa,Bur oak,42.735254,-84.486043
CC4964*01,Quercus macrocarpa,Bur oak,42.731299,-84.489501
CC4980*01,Quercus macrocarpa,Bur oak,42.731356,-84.489002
CC6602*02,Quercus macrocarpa,Bur oak,42.724593,-84.471941
CC6861*01,Quercus macrocarpa,Bur oak,42.726051,-84.482043
CC7326*01,Quercus macrocarpa,Bur oak,42.727623,-84.48761
CC8292*01,Quercus macrocarpa,Bur oak,42.722156,-84.48696
CC8345*01,Quercus macrocarpa,Bur oak,42.732552,-84.478439
20080059*14,Quercus rubra,Red oak,42.731781,-84.480029
20080059*15,Quercus rubra,Red oak,42.731663,-84.480083
20090327*02,Quercus rubra,Red oak,42.730125,-84.491577
20090665*02,Quercus rubra,Red oak,42.731336,-84.480437
89P063*01,Quercus rubra,Red oak,42.726979,-84.477566
89P063*02,Quercus rubra,Red oak,42.726714,-84.47718
89P063*03,Quercus rubra,Red oak,42.726586,-84.477201
89P063*08,Quercus rubra,Red oak,42.726508,-84.477099
91P205*01,Quercus rubra,Red oak,42.726389,-84.481944
94N379*07,Quercus rubra,Red oak,42.723114,-84.478571
94N379*17,Quercus rubra,Red oak,42.723113,-84.478786
98P021*03,Quercus rubra,Red oak,42.732398,-84.481998
CC0286*01,Quercus rubra,Red oak,42.732631,-84.482046
CC0288*01,Quercus rubra,Red oak,42.732767,-84.482016
CC2536*01,Quercus rubra,Red oak,42.722789,-84.478272
CC4374*01,Quercus rubra,Red oak,42.729722,-84.48
CC4944*01,Quercus rubra,Red oak,42.726667,-84.483889
CC7306*01,Quercus rubra,Red oak,42.726627,-84.487687
NN0748*01,Quercus rubra,Red oak,42.722743,-84.478233
NN0749*01,Quercus rubra,Red oak,42.722736,-84.478292
CC1747*01,Ulmus americana,American elm,42.728579,-84.482308
CC4653*01,Ulmus americana,American elm,42.734116,-84.482168
CC4656*01,Ulmus americana,American elm,42.734234,-84.482287
CC4662*01,Ulmus americana,American elm,42.734183,-84.481884
CC5425*06,Ulmus americana,American elm,42.725034,-84.478974
CC5425*07,Ulmus americana,American elm,42.725065,-84.479164
CC5425*16,Ulmus americana,American elm,42.725136,-84.481837
CC5459*02,Ulmus americana,American elm,42.725572,-84.482849
CC5459*03,Ulmus americana,American elm,42.725625,-84.483122
CC6248*01,Ulmus americana,American elm,42.730753,-84.472248
CC6249*01,Ulmus americana,American elm,42.730689,-84.472158
CC6270*01,Ulmus americana,American elm,42.732343,-84.47501
CC6283*01,Ulmus americana,American elm,42.73108,-84.472633
CC6397*02,Ulmus americana,American elm,42.731266,-84.474325
CC6405*01,Ulmus americana,American elm,42.730849,-84.472632
CC6416*01,Ulmus americana,American elm,42.73157,-84.475548
CC6546*02,Ulmus americana,American elm,42.729193,-84.476621
CC6859*01,Ulmus americana,American elm,42.725995,-84.481883
CC6943*01,Ulmus americana,American elm,42.725734,-84.482471
20100048*06,Acer rubrum,Red maple,,
20100048*10,Acer rubrum,Red maple,,
CC4955*04,Quercus alba,White oak,,
